data,faixa0a1,faixa1a4
jan/15,105,246
fev/15,107,225
mar/15,219,532
abr/15,290,510
mai/15,304,442
jun/15,237,362
jul/15,188,342
ago/15,184,336
set/15,156,312
out/15,178,326
nov/15,143,241
dez/15,102,210
jan/16,85,166
fev/16,78,180
mar/16,147,362
abr/16,354,657
mai/16,266,511
jun/16,270,393
jul/16,224,321
ago/16,140,285
set/16,153,246
out/16,146,244
nov/16,86,204
dez/16,85,170
jan/17,85,150
fev/17,86,190
mar/17,170,319
abr/17,204,334
mai/17,228,370
jun/17,202,312
jul/17,134,231
ago/17,104,235
set/17,102,264
out/17,107,218
nov/17,99,209
dez/17,82,198
jan/18,78,141
fev/18,63,138
mar/18,129,282
abr/18,185,385
mai/18,219,447
jun/18,275,352
jul/18,230,301
ago/18,140,268
set/18,107,267
out/18,117,282
nov/18,119,236
dez/18,95,214
jan/19,94,170
fev/19,118,192
mar/19,261,370
abr/19,275,461
mai/19,290,431
jun/19,224,357
jul/19,146,272
ago/19,88,251
set/19,115,229
out/19,108,265
nov/19,104,203
dez/19,74,170
jan/20,68,120
fev/20,74,172
mar/20,141,280
abr/20,90,138
mai/20,70,80
jun/20,43,101
jul/20,55,121
ago/20,64,130
set/20,44,99
out/20,40,92
nov/20,41,130
dez/20,37,76